City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
2,Rikitea,PF,73.69,light rain,-23.1203,-134.9692,People ThankYou
3,Zumpahuacan,MX,77.11,overcast clouds,18.9,-99.55,Hotel Arbolado
5,Thompson,CA,84.36,smoke,55.7435,-97.8558,Burntwood Hotel
7,Arraial Do Cabo,BR,78.76,clear sky,-22.9661,-42.0278,Pousada Porto Praia
8,Souillac,MU,72.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
12,Atuona,PF,77.63,light rain,-9.8,-139.0333,Villa Enata
13,Tromso,NO,72.25,clear sky,69.6496,18.957,"Radisson Blu Hotel, Tromsø"
14,Oyama,JP,76.59,clear sky,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
15,Kahului,US,80.96,few clouds,20.8947,-156.47,Maui Seaside Hotel
18,Bengkulu,ID,76.08,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
19,Vila Franca Do Campo,PT,70.21,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
22,Sechura,PE,76.12,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
23,Albany,US,75.36,light rain,42.6001,-73.9662,
24,Corn Island,NI,80.4,overcast clouds,12.1694,-83.0418,Big Fish Guest House
28,Faya,SA,73.51,overcast clouds,18.3851,42.4509,مقبرة ال مجمل
29,Poum,NC,71.02,overcast clouds,-20.2333,164.0167,Gîte kajeon
30,Samarai,PG,78.67,broken clouds,-10.6167,150.6667,Nuli Sapi
31,Bilibino,RU,76.17,clear sky,68.0546,166.4372,Gostinitsa Severyanka
32,Hithadhoo,MV,81.9,overcast clouds,-0.6,73.0833,Scoop Guest House
36,Sorong,ID,78.89,overcast clouds,-0.8833,131.25,waigo splash hotel
38,Sarangani,PH,83.23,overcast clouds,5.4033,125.4636,Ballistic Islet
39,Bonthe,SL,77.58,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
42,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,K2 Lembeh
49,Pangoa,PE,75.78,few clouds,-12.1167,-73.0,
51,Nikolskoye,RU,76.89,clear sky,59.7035,30.7861,Tourist House - Sablino
54,Butaritari,KI,82.45,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
56,Puerto Ayora,EC,80.56,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
57,Sao Filipe,CV,72.68,broken clouds,14.8961,-24.4956,Hotel Xaguate
62,Faanui,PF,79.5,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
66,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
68,Manacapuru,BR,79.38,heavy intensity rain,-3.2997,-60.6206,Novo Hotel
69,Pineville,US,79.23,clear sky,31.3224,-92.4343,"Country Inn & Suites by Radisson, Pineville, LA"
70,Abengourou,CI,72.16,few clouds,6.7297,-3.4964,Hotel des Princes
73,Ewa Beach,US,81.01,clear sky,21.3156,-158.0072,Uncle Junior Robert
76,Porto Novo,BJ,78.62,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
77,Andros,GR,82.96,clear sky,37.8333,24.9333,Micra Anglia Hotel - Andros
79,Ponta Do Sol,PT,81.23,clear sky,32.6667,-17.1,Hotel do Campo
81,Vaini,TO,71.76,few clouds,-21.2,-175.2,Keleti Beach Resort
82,Hilo,US,78.8,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
86,Diego De Almagro,CL,72.36,broken clouds,-26.3667,-70.05,hotel luna del desierto
87,Pokhara,NP,72.16,overcast clouds,28.2333,83.9833,Butterfly Lodge
88,Kapaa,US,82.72,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
89,Korla,CN,79.39,light rain,41.7597,86.1469,Gulisitan Hotel
91,Guerrero Negro,MX,78.06,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
92,Hami,CN,84.97,overcast clouds,42.8,93.45,Laoyutang Resort
94,Narasannapeta,IN,80.94,overcast clouds,18.4167,84.05,G.lingaraju home
96,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
97,Orikhiv,UA,77.63,clear sky,47.5673,35.7858,Stara Sadyba
100,Georgetown,MY,75.15,moderate rain,5.4112,100.3354,Cititel Penang
104,Shubarshi,KZ,75.0,few clouds,48.5872,57.1869,
107,Myitkyina,MM,75.29,scattered clouds,25.3833,97.4,Shwe Phyu Hotel
113,Baracoa,CU,84.47,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
118,La Ronge,CA,80.85,smoke,55.1001,-105.2842,Northland Motor Hotel
121,Mahon,ES,79.36,clear sky,39.8885,4.2658,ARTIEM Capri
122,Shimoda,JP,73.11,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
125,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
