City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind,Description,Date
0,Vaini,-21.2,-175.2,71.76,100,20,4.61,few clouds,2021-07-11 18:24:50
1,Mataura,-46.1927,168.8643,34.63,93,88,3.15,overcast clouds,2021-07-11 18:24:19
2,Cienfuegos,22.1461,-80.4356,84.34,70,40,4.61,light rain,2021-07-11 18:26:19
3,Cape Town,-33.9258,18.4232,56.88,82,20,1.99,few clouds,2021-07-11 18:24:35
4,Atuona,-9.8,-139.0333,77.77,80,59,25.75,light rain,2021-07-11 18:22:40
5,Dolgoderevenskoye,55.3444,61.3444,59.34,88,75,11.18,broken clouds,2021-07-11 18:21:45
6,Nabire,-3.3667,135.4833,75.52,91,85,2.86,overcast clouds,2021-07-11 18:25:10
7,Olinda,-8.0089,-34.8553,78.53,69,40,10.36,scattered clouds,2021-07-11 18:26:20
8,Castro,-24.7911,-50.0119,67.44,45,0,3.36,clear sky,2021-07-11 18:24:21
9,Punta Arenas,-53.15,-70.9167,33.91,93,75,29.93,light intensity shower rain,2021-07-11 18:21:13
10,Lavrentiya,65.5833,-171.0,44.04,91,84,2.66,broken clouds,2021-07-11 18:25:18
11,Barrow,71.2906,-156.7887,33.82,80,90,11.5,haze,2021-07-11 18:20:02
12,Rikitea,-23.1203,-134.9692,73.58,83,38,20.78,light rain,2021-07-11 18:20:10
13,Busselton,-33.65,115.3333,56.05,69,100,24.87,light rain,2021-07-11 18:24:18
14,Isangel,-19.55,169.2667,72.55,80,99,1.9,overcast clouds,2021-07-11 18:25:29
15,Tomohon,1.3346,124.8392,67.14,90,90,2.75,overcast clouds,2021-07-11 18:26:21
16,Healdsburg,38.6105,-122.8692,107.1,13,0,4.18,clear sky,2021-07-11 18:26:22
17,San Juan,-31.5375,-68.5364,64.08,36,13,3.83,few clouds,2021-07-11 18:26:22
18,Boiro,42.65,-8.9,66.88,70,89,11.88,overcast clouds,2021-07-11 18:25:01
19,Albany,42.6001,-73.9662,76.37,85,99,4.97,light rain,2021-07-11 18:24:32
20,Ushuaia,-54.8,-68.3,35.26,69,75,11.5,light snow,2021-07-11 18:21:31
21,Yellowknife,62.456,-114.3525,73.33,56,75,1.99,broken clouds,2021-07-11 18:24:32
22,Newport,51.5877,-2.9984,60.17,91,100,7.31,light rain,2021-07-11 18:25:23
23,Severo-Kurilsk,50.6789,156.125,50.81,96,97,6.69,overcast clouds,2021-07-11 18:24:36
24,Dikson,73.5069,80.5464,34.81,99,100,14.94,light rain,2021-07-11 18:24:26
25,Kamiiso,41.8167,140.65,65.84,98,100,2.51,overcast clouds,2021-07-11 18:26:23
26,Mayo,38.8876,-76.5119,93.25,76,1,1.01,clear sky,2021-07-11 18:25:43
27,Belle Fourche,44.6714,-103.8522,90.25,25,0,7.85,clear sky,2021-07-11 18:26:23
28,Codrington,-38.2667,141.9667,51.53,53,94,19.17,overcast clouds,2021-07-11 18:26:24
29,Kapaa,22.0752,-159.319,82.72,76,90,3.0,overcast clouds,2021-07-11 18:24:29
30,Iquitos,-3.7481,-73.2472,86.04,66,75,3.44,broken clouds,2021-07-11 18:24:58
31,Melita,49.2681,-100.9967,88.18,38,0,13.49,clear sky,2021-07-11 18:26:24
32,Myitkyina,25.3833,97.4,75.79,97,76,1.63,broken clouds,2021-07-11 18:26:25
33,Dhidhdhoo,6.8833,73.1,81.91,82,100,16.93,overcast clouds,2021-07-11 18:26:25
34,Bredasdorp,-34.5322,20.0403,45.72,87,8,0.0,clear sky,2021-07-11 18:24:39
35,Culebra,18.303,-65.301,89.69,83,100,21.94,overcast clouds,2021-07-11 18:26:25
36,Ribeira Grande,38.5167,-28.7,72.0,56,20,17.27,few clouds,2021-07-11 18:25:00
37,Saskylakh,71.9167,114.0833,41.29,54,57,8.5,broken clouds,2021-07-11 18:25:20
38,Butaritari,3.0707,172.7902,82.22,75,98,13.4,overcast clouds,2021-07-11 18:24:41
39,Carnarvon,-24.8667,113.6333,62.67,76,40,11.5,scattered clouds,2021-07-11 18:24:38
40,Port Lincoln,-34.7333,135.8667,55.47,71,48,17.85,scattered clouds,2021-07-11 18:24:32
41,Saint-Philippe,-21.3585,55.7679,69.35,80,48,13.29,scattered clouds,2021-07-11 18:24:21
42,Salinopolis,-0.6136,-47.3561,82.31,77,89,11.18,overcast clouds,2021-07-11 18:26:26
43,Cidreira,-30.1811,-50.2056,64.13,79,9,6.51,clear sky,2021-07-11 18:19:33
44,Nikolskoye,59.7035,30.7861,77.88,68,42,6.51,scattered clouds,2021-07-11 18:24:38
45,Sao Filipe,14.8961,-24.4956,72.59,76,87,6.6,overcast clouds,2021-07-11 18:21:07
46,Hobart,-42.8794,147.3294,41.27,89,100,5.01,overcast clouds,2021-07-11 18:23:28
47,Narsaq,60.9167,-46.05,46.62,97,100,4.27,moderate rain,2021-07-11 18:26:27
48,Moron,-34.6534,-58.6198,64.02,38,1,3.0,clear sky,2021-07-11 18:23:40
49,Omboue,-1.5746,9.2618,75.15,85,78,8.72,broken clouds,2021-07-11 18:26:28
50,Mahebourg,-20.4081,57.7,71.26,78,75,16.11,broken clouds,2021-07-11 18:19:44
51,Tenno,39.9,139.9667,71.02,92,100,10.65,overcast clouds,2021-07-11 18:26:28
52,Bluff,-46.6,168.3333,45.16,77,100,13.8,overcast clouds,2021-07-11 18:24:19
53,Qaanaaq,77.484,-69.3632,38.91,65,54,1.83,broken clouds,2021-07-11 18:24:26
54,Samfya,-11.3649,29.5565,65.89,46,9,13.11,clear sky,2021-07-11 18:26:29
55,Jamestown,42.097,-79.2353,69.12,97,90,4.0,moderate rain,2021-07-11 18:22:10
56,New Norfolk,-42.7826,147.0587,40.91,84,100,2.84,overcast clouds,2021-07-11 18:24:24
57,Bambous Virieux,-20.3428,57.7575,71.22,78,75,16.11,broken clouds,2021-07-11 18:19:40
58,Port Alfred,-33.5906,26.891,63.36,60,0,12.21,clear sky,2021-07-11 18:24:25
59,Kaitangata,-46.2817,169.8464,39.92,82,98,8.61,overcast clouds,2021-07-11 18:24:53
60,Tuktoyaktuk,69.4541,-133.0374,57.2,77,75,13.8,broken clouds,2021-07-11 18:24:50
61,Pierre,44.3683,-100.351,88.0,39,1,8.05,clear sky,2021-07-11 18:24:49
62,Ballina,-28.8667,153.5667,53.56,94,90,10.36,overcast clouds,2021-07-11 18:25:04
63,Klaksvik,62.2266,-6.589,54.52,99,100,10.04,overcast clouds,2021-07-11 18:25:55
64,Khagaria,25.5,86.4833,81.09,88,95,8.41,overcast clouds,2021-07-11 18:26:30
65,La Ronge,55.1001,-105.2842,80.85,36,1,6.91,smoke,2021-07-11 18:20:44
66,Bathsheba,13.2167,-59.5167,84.81,79,75,29.93,broken clouds,2021-07-11 18:26:20
67,Hohhot,40.8106,111.6522,73.69,68,20,8.95,light rain,2021-07-11 18:19:32
68,Lethem,3.3803,-59.7968,85.91,66,78,4.81,broken clouds,2021-07-11 18:26:31
69,Ahipara,-35.1667,173.1667,55.67,93,100,18.1,light rain,2021-07-11 18:24:55
70,Saint George,37.1041,-113.5841,110.53,11,1,1.99,clear sky,2021-07-11 18:15:39
71,East London,-33.0153,27.9116,59.94,88,0,4.61,clear sky,2021-07-11 18:24:56
72,Broken Hill,-31.95,141.4333,49.87,46,78,11.86,broken clouds,2021-07-11 18:24:19
73,Hithadhoo,-0.6,73.0833,82.2,68,57,3.13,light rain,2021-07-11 18:24:58
74,Bambanglipuro,-7.95,110.2833,56.61,88,68,4.52,broken clouds,2021-07-11 18:24:48
75,Zhigansk,66.7697,123.3711,42.46,92,96,13.15,light rain,2021-07-11 18:26:32
76,Thompson,55.7435,-97.8558,84.36,48,20,8.05,smoke,2021-07-11 18:24:21
77,Mar Del Plata,-38.0023,-57.5575,60.87,47,0,8.01,clear sky,2021-07-11 18:21:59
78,Praia Da Vitoria,38.7333,-27.0667,72.75,64,75,14.23,broken clouds,2021-07-11 18:26:32
79,Ahome,25.9167,-109.1833,92.14,69,78,1.01,broken clouds,2021-07-11 18:26:33
80,Port Blair,11.6667,92.75,77.04,94,90,1.14,drizzle,2021-07-11 18:26:33
81,Hilo,19.7297,-155.09,77.79,84,75,4.61,light rain,2021-07-11 18:24:46
82,Karjat,18.9167,73.3333,80.08,94,100,1.1,heavy intensity rain,2021-07-11 18:26:33
83,Vardo,70.3705,31.1107,52.0,81,0,9.22,clear sky,2021-07-11 18:25:32
84,Sorland,67.667,12.6934,62.67,94,100,15.59,overcast clouds,2021-07-11 18:19:58
85,Anadyr,64.75,177.4833,54.1,87,0,2.24,clear sky,2021-07-11 18:26:34
86,College,64.8569,-147.8028,64.06,52,75,0.0,broken clouds,2021-07-11 18:26:06
87,Strezhevoy,60.7333,77.5889,42.78,64,100,5.26,overcast clouds,2021-07-11 18:26:34
