City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Bredasdorp,79,ZA,2021-07-08 17:34:02,81,-34.5322,20.0403,51.28,12.66
1,Zaragoza,0,ES,2021-07-08 17:32:48,32,41.6561,-0.8773,82.54,7.0
2,Khatanga,98,RU,2021-07-08 17:34:02,62,71.9667,102.5,41.72,13.38
3,Kavieng,62,PG,2021-07-08 17:34:03,78,-2.5744,150.7967,81.75,12.39
4,Palauig,17,PH,2021-07-08 17:34:03,75,15.435,119.9045,81.03,3.58
5,Naushahro Firoz,12,PK,2021-07-08 17:34:03,47,26.8424,68.123,95.14,12.59
6,Severo-Kurilsk,100,RU,2021-07-08 17:34:03,90,50.6789,156.125,49.66,8.99
7,Chokurdakh,100,RU,2021-07-08 17:34:04,86,70.6333,147.9167,49.35,9.31
8,Jaque,100,PA,2021-07-08 17:34:04,77,7.5175,-78.1703,83.84,9.64
9,Hobart,90,AU,2021-07-08 17:31:27,87,-42.8794,147.3294,37.26,1.01
10,Garissa,43,KE,2021-07-08 17:34:04,56,-0.4536,39.6401,77.67,22.82
11,Kahului,20,US,2021-07-08 17:29:26,85,20.8947,-156.47,77.85,0.0
12,Vardo,75,NO,2021-07-08 17:34:05,88,70.3705,31.1107,59.2,2.3
13,Kasongo-Lunda,50,CD,2021-07-08 17:34:05,22,-6.4667,16.8167,75.78,2.86
14,Nikolskoye,90,RU,2021-07-08 17:34:05,62,59.7035,30.7861,80.78,3.4
15,Maceio,75,BR,2021-07-08 17:34:05,65,-9.6658,-35.7353,81.84,11.5
16,Hamilton,90,US,2021-07-08 17:30:09,80,39.1834,-84.5333,83.62,1.01
17,Punta Arenas,0,CL,2021-07-08 17:31:46,65,-53.15,-70.9167,39.31,10.36
18,Tiksi,100,RU,2021-07-08 17:34:06,88,71.6872,128.8694,41.65,8.81
19,Hofn,20,IS,2021-07-08 17:34:06,77,64.2539,-15.2082,59.02,8.05
20,Atuona,27,PF,2021-07-08 17:34:07,72,-9.8,-139.0333,79.12,20.38
21,Labuhan,95,ID,2021-07-08 17:34:07,81,-6.8844,112.2051,78.06,4.27
22,Finnsnes,100,NO,2021-07-08 17:34:07,93,69.2296,17.9811,59.61,5.55
23,Haines Junction,99,CA,2021-07-08 17:34:07,47,60.7522,-137.5108,57.15,3.44
24,Carnarvon,30,AU,2021-07-08 17:34:08,65,-24.8667,113.6333,50.07,6.91
25,Okha,17,RU,2021-07-08 17:34:08,95,53.5739,142.9478,52.56,13.44
26,Hilo,1,US,2021-07-08 17:34:08,84,19.7297,-155.09,81.28,5.75
27,Kawalu,95,ID,2021-07-08 17:34:09,97,-7.3817,108.2082,70.83,0.94
28,Kapaa,1,US,2021-07-08 17:34:09,83,22.0752,-159.319,77.32,10.36
29,Laguna,1,US,2021-07-08 17:34:09,50,38.421,-121.4238,101.64,0.0
30,Belfast,90,GB,2021-07-08 17:29:46,94,54.5833,-5.9333,63.19,5.75
31,Hermanus,100,ZA,2021-07-08 17:34:10,72,-34.4187,19.2345,51.8,21.74
32,Vila Velha,0,BR,2021-07-08 17:29:26,70,-20.3297,-40.2925,74.97,13.8
33,Te Anau,74,NZ,2021-07-08 17:34:10,89,-45.4167,167.7167,31.19,0.74
34,Ushuaia,40,AR,2021-07-08 17:30:17,57,-54.8,-68.3,44.26,6.91
35,Luderitz,39,NA,2021-07-08 17:34:10,72,-26.6481,15.1594,57.63,3.44
36,Fairbanks,75,US,2021-07-08 17:33:54,83,64.8378,-147.7164,57.22,0.0
37,Butaritari,96,KI,2021-07-08 17:34:11,78,3.0707,172.7902,82.58,15.21
38,Saint-Philippe,64,RE,2021-07-08 17:34:11,85,-21.3585,55.7679,71.19,15.73
39,Lichtenburg,0,ZA,2021-07-08 17:34:12,42,-26.152,26.1597,50.45,9.33
40,Lilongwe,23,MW,2021-07-08 17:34:12,50,-13.9669,33.7873,62.24,4.54
41,Port Alfred,0,ZA,2021-07-08 17:34:12,41,-33.5906,26.891,72.9,14.0
42,Snasa,61,NO,2021-07-08 17:34:13,63,64.2457,12.3778,67.41,5.55
43,Cherskiy,100,RU,2021-07-08 17:34:13,85,68.75,161.3,43.41,7.07
44,Rundu,0,NA,2021-07-08 17:34:13,31,-17.9333,19.7667,61.03,5.48
45,Thompson,75,CA,2021-07-08 17:31:36,64,55.7435,-97.8558,69.96,4.61
46,Rikitea,100,PF,2021-07-08 17:34:14,72,-23.1203,-134.9692,75.07,16.15
47,Broome,90,US,2021-07-08 17:34:14,85,42.2506,-75.833,78.51,3.0
48,Esperance,5,AU,2021-07-08 17:34:14,87,-33.8667,121.9,49.84,12.66
49,Jamestown,90,US,2021-07-08 17:29:55,96,42.097,-79.2353,74.52,5.01
50,Busselton,14,AU,2021-07-08 17:34:15,76,-33.65,115.3333,55.04,15.5
51,Vaini,75,TO,2021-07-08 17:34:15,88,-21.2,-175.2,71.76,13.8
52,Bluff,99,NZ,2021-07-08 17:34:15,68,-46.6,168.3333,45.09,25.99
53,Bolobo,59,CD,2021-07-08 17:34:16,36,-2.1667,16.2333,81.43,0.72
54,Porto Novo,53,BJ,2021-07-08 17:34:06,81,6.4965,2.6036,80.42,9.13
55,Arraial Do Cabo,20,BR,2021-07-08 17:34:16,69,-22.9661,-42.0278,75.16,4.61
56,Narsaq,100,GL,2021-07-08 17:34:16,87,60.9167,-46.05,52.02,8.5
57,Negombo,40,LK,2021-07-08 17:34:17,83,7.2083,79.8358,82.45,8.05
58,Riachao Das Neves,27,BR,2021-07-08 17:34:17,20,-11.7461,-44.91,90.5,3.04
59,General Pico,72,AR,2021-07-08 17:34:17,64,-35.6566,-63.7568,67.06,13.42
60,Georgetown,40,MY,2021-07-08 17:34:17,86,5.4112,100.3354,82.89,2.3
61,East London,0,ZA,2021-07-08 17:34:18,23,-33.0153,27.9116,74.34,4.61
62,Anadyr,20,RU,2021-07-08 17:34:18,93,64.75,177.4833,52.3,4.0
63,Nurota,3,UZ,2021-07-08 17:34:18,24,40.5614,65.6886,95.09,8.16
64,Albany,100,US,2021-07-08 17:30:02,94,42.6001,-73.9662,74.32,1.99
65,Saskylakh,95,RU,2021-07-08 17:34:18,54,71.9167,114.0833,45.84,8.66
66,Bilibino,79,RU,2021-07-08 17:34:19,87,68.0546,166.4372,53.26,2.37
67,Monteagudo,0,BO,2021-07-08 17:34:19,36,-19.8167,-63.9833,76.78,5.5
68,Parrita,73,CR,2021-07-08 17:34:19,70,9.5201,-84.3225,92.97,6.31
69,Malatya,40,TR,2021-07-08 17:34:20,41,38.5,38.0,75.25,4.61
70,Torbay,90,CA,2021-07-08 17:34:20,82,47.6666,-52.7314,58.75,18.41
71,Bambous Virieux,75,MU,2021-07-08 17:34:20,83,-20.3428,57.7575,74.21,16.11
